center_code,transfer_type
CC11090,"drop_off,courier,rider"
DC12529,"drop_off,courier,rider"
GELAB11509,"drop_off,courier,rider"
CC11633,"drop_off,courier,rider"
DC3056,"drop_off,courier,rider"
CC1910,"drop_off,courier,rider"
DC10397,"drop_off,courier,rider"
CC5522,"drop_off,courier,rider"
DC10419,"drop_off,courier,rider"
DC9361,"drop_off,courier,rider"
DC13468,"drop_off,courier,rider"
CC7562,"drop_off,courier,rider"
CC7893,"drop_off,courier,rider"
GELAB4898,"drop_off,courier,rider"
CC6088,"drop_off,courier,rider"
DC9204,"drop_off,courier,rider"
DC10031,"drop_off,courier,rider"
DC2250,"drop_off,courier,rider"
DC9116,"drop_off,courier,rider"
DC12492,"drop_off,courier,rider"
DC1238,"drop_off,courier,rider"
CC3289,"drop_off,courier,rider"
DC1605,"drop_off,courier,rider"
DC8432,"drop_off,courier,rider"
DC5570,"drop_off,courier,rider"
DC10401,"drop_off,courier,rider"
DC1831,"drop_off,courier,rider"
DC12016,"drop_off,courier,rider"
DC7461,"drop_off,courier,rider"
DC10167,"drop_off,courier,rider"
F769,"drop_off,courier,rider"
CC5254,"drop_off,courier,rider"
DC7494,"drop_off,courier,rider"
DC13280,"drop_off,courier,rider"
CC10960,"drop_off,courier,rider"
DC11421,"drop_off,courier,rider"
DC6800,"drop_off,courier,rider"
CC12828,"drop_off,courier,rider"
CC12643,"drop_off,courier,rider"
DC4527,"drop_off,courier,rider"
DC4630,"drop_off,courier,rider"
DC4859,"drop_off,courier,rider"
OLC11933,"drop_off,courier,rider"
DC12036,"drop_off,courier,rider"
DC6292,"drop_off,courier,rider"
DC12184,"drop_off,courier,rider"
DC4631,"drop_off,courier,rider"
DC5578,"drop_off,courier,rider"
DC6419,"drop_off,courier,rider"
DC6192,"drop_off,courier,rider"
DC6734,"drop_off,courier,rider"
DC12663,"drop_off,courier,rider"
CC11866,"drop_off,courier,rider"
CC12131,"drop_off,courier,rider"
DC12819,"drop_off,courier,rider"
DC12932,"drop_off,courier,rider"
DC13265,"drop_off,courier,rider"
CC13346,"drop_off,courier,rider"
DC12762,"drop_off,courier,rider"
CC2253,"drop_off,courier,rider"
DC3102,"drop_off,courier,rider"
DC10416,"drop_off,courier,rider"
CC11859,"drop_off,courier,rider"
CC10599,"drop_off,courier,rider"
CC2704,"drop_off,courier,rider"
DC9731,"drop_off,courier,rider"
DC10378,"drop_off,courier,rider"
DC3378,"drop_off,courier,rider"
DC2728,"drop_off,courier,rider"
DC9265,"drop_off,courier,rider"
OLC8534,"drop_off,courier,rider"
DC13669,"drop_off,courier,rider"
GELAB3639,"drop_off,courier,rider"
DC4682,"drop_off,courier,rider"
DC10390,"drop_off,courier,rider"
F729,"drop_off,courier,rider"
DC9698,"drop_off,courier,rider"
CC8568,"drop_off,courier,rider"
DC10041,"drop_off,courier,rider"
DC10039,"drop_off,courier,rider"
DC10394,"drop_off,courier,rider"
DC10395,"drop_off,courier,rider"
DC10428,"drop_off,courier,rider"
DC1234,"drop_off,courier,rider"
CC7776,"drop_off,courier,rider"
DC9577,"drop_off,courier,rider"
CC7500,"drop_off,courier,rider"
DC10801,"drop_off,courier,rider"
DC11073,"drop_off,courier,rider"
DC6333,"drop_off,courier,rider"
DC10183,"drop_off,courier,rider"
DC3206,"drop_off,courier,rider"
DC13442,"drop_off,courier,rider"
DC5142,"drop_off,courier,rider"
DC9242,"drop_off,courier,rider"
CC12265,"drop_off,courier,rider"
DC13279,"drop_off,courier,rider"
DC10393,"drop_off,courier,rider"
DC13301,"drop_off,courier,rider"
CC6976,"drop_off,courier,rider"
DC10045,"drop_off,courier,rider"
OLC11583,"drop_off,courier,rider"
F1047,"drop_off,courier,rider"
DC5576,"drop_off,courier,rider"
DC3803,"drop_off,courier,rider"
DC1541,"drop_off,courier,rider"
DC8283,"drop_off,courier,rider"
