center_code,transfer_type
GELAB2609,"drop_off,courier,rider"
GELAB5486,"drop_off,courier,rider"
GELAB5206,"drop_off,courier,rider"
DC13091,"drop_off,courier,rider"
GELAB2226,"drop_off,courier,rider"
GELAB3005,"drop_off,courier,rider"
GELAB3299,"drop_off,courier,rider"
GELAB2526,"drop_off,courier,rider"
DC6705,"drop_off,courier,rider"
GELAB5249,"drop_off,courier,rider"
CC10128,"drop_off,courier,rider"
DC7638,"drop_off,courier,rider"
GELAB3312,"drop_off,courier,rider"
DC3816,"drop_off,courier,rider"
F459,"drop_off,courier,rider"
DC4063,"drop_off,courier,rider"
DC2577,"drop_off,courier,rider"
DC8074,"drop_off,courier,rider"
GELAB4247,"drop_off,courier,rider"
GELAB2488,"drop_off,courier,rider"
CC6676,"drop_off,courier,rider"
GELAB3435,"drop_off,courier,rider"
DC7802,"drop_off,courier,rider"
DC11221,"drop_off,courier,rider"
GELAB3058,"drop_off,courier,rider"
GELAB4473,"drop_off,courier,rider"
GELAB5231,"drop_off,courier,rider"
DC3088,"drop_off,courier,rider"
GELAB3220,"drop_off,courier,rider"
GELAB3765,"drop_off,courier,rider"
DC12919,"drop_off,courier,rider"
GELAB3562,"drop_off,courier,rider"
GELAB4246,"drop_off,courier,rider"
DC4815,"drop_off,courier,rider"
DC8183,"drop_off,courier,rider"
F622,"drop_off,courier,rider"
GELAB2238,"drop_off,courier,rider"
GELAB4944,"drop_off,courier,rider"
GELAB5203,"drop_off,courier,rider"
F256,"drop_off,courier,rider"
GELAB2160,"drop_off,courier,rider"
GELAB2390,"drop_off,courier,rider"
DC7880,"drop_off,courier,rider"
GELAB2242,"drop_off,courier,rider"
DC6234,"drop_off,courier,rider"
DC3002,"drop_off,courier,rider"
DC7714,"drop_off,courier,rider"
DC13318,"drop_off,courier,rider"
DC9118,"drop_off,courier,rider"
DC1617,"drop_off,courier,rider"
OLC7592,"drop_off,courier,rider"
CC6554,"drop_off,courier,rider"
GELAB3007,"drop_off,courier,rider"
GELAB4958,"drop_off,courier,rider"
GELAB10895,"drop_off,courier,rider"
GELAB3575,"drop_off,courier,rider"
F746,"drop_off,courier,rider"
F206,"drop_off,courier,rider"
DC8191,"drop_off,courier,rider"
DC10837,"drop_off,courier,rider"
GELAB2271,"drop_off,courier,rider"
DC8441,"drop_off,courier,rider"
GELAB2363,"drop_off,courier,rider"
DC3308,"drop_off,courier,rider"
DC12110,"drop_off,courier,rider"
GELAB3019,"drop_off,courier,rider"
GELAB4084,"drop_off,courier,rider"
F575,"drop_off,courier,rider"
GELAB4178,"drop_off,courier,rider"
CC8428,"drop_off,courier,rider"
DC11940,"drop_off,courier,rider"
GELAB2607,"drop_off,courier,rider"
GELAB3527,"drop_off,courier,rider"
GELAB2233,"drop_off,courier,rider"
GELAB2508,"drop_off,courier,rider"
GELAB2713,"drop_off,courier,rider"
GELAB8023,"drop_off,courier,rider"
CC9968,"drop_off,courier,rider"
DC11419,"drop_off,courier,rider"
GELAB2551,"drop_off,courier,rider"
GELAB5235,"drop_off,courier,rider"
DC9425,"drop_off,courier,rider"
GELAB5107,"drop_off,courier,rider"
GELAB2204,"drop_off,courier,rider"
GELAB3811,"drop_off,courier,rider"
GELAB4510,"drop_off,courier,rider"
F936,"drop_off,courier,rider"
GELAB2663,"drop_off,courier,rider"
DC3937,"drop_off,courier,rider"
DC4722,"drop_off,courier,rider"
GELAB5428,"drop_off,courier,rider"
F200,"drop_off,courier,rider"
F430,"drop_off,courier,rider"
DC8028,"drop_off,courier,rider"
GELAB2240,"drop_off,courier,rider"
GELAB3602,"drop_off,courier,rider"
DC12008,"drop_off,courier,rider"
F870,"drop_off,courier,rider"
GELAB2721,"drop_off,courier,rider"
DC7719,"drop_off,courier,rider"
CC12198,"drop_off,courier,rider"
GELAB2220,"drop_off,courier,rider"
GELAB5197,"drop_off,courier,rider"
GELAB3239,"drop_off,courier,rider"
GELAB3528,"drop_off,courier,rider"
DC8177,"drop_off,courier,rider"
CC766,"drop_off,courier,rider"
GELAB2246,"drop_off,courier,rider"
GELAB11675,"drop_off,courier,rider"
F755,"drop_off,courier,rider"
F1035,"drop_off,courier,rider"
DC3097,"drop_off,courier,rider"
GELAB3885,"drop_off,courier,rider"
F203,"drop_off,courier,rider"
DC7195,"drop_off,courier,rider"
GELAB5087,"drop_off,courier,rider"
DC6113,"drop_off,courier,rider"
GELAB2183,"drop_off,courier,rider"
GEHC2272,"drop_off,courier,rider"
GELAB3114,"drop_off,courier,rider"
F1078,"drop_off,courier,rider"
CC1208,"drop_off,courier,rider"
GELAB3674,"drop_off,courier,rider"
GELAB4670,"drop_off,courier,rider"
GELAB3447,"drop_off,courier,rider"
DC4377,"drop_off,courier,rider"
DC4889,"drop_off,courier,rider"
GELAB5561,"drop_off,courier,rider"
GELAB5606,"drop_off,courier,rider"
DC3467,"drop_off,courier,rider"
DC6535,"drop_off,courier,rider"
GELAB3243,"drop_off,courier,rider"
GELAB5437,"drop_off,courier,rider"
GELAB5740,"drop_off,courier,rider"
DC7757,"drop_off,courier,rider"
DC5156,"drop_off,courier,rider"
CC7766,"drop_off,courier,rider"
GELAB2241,"drop_off,courier,rider"
GELAB3774,"drop_off,courier,rider"
GELAB4511,"drop_off,courier,rider"
F618,"drop_off,courier,rider"
GELAB3867,"drop_off,courier,rider"
DC8415,"drop_off,courier,rider"
F554,"drop_off,courier,rider"
GELAB2235,"drop_off,courier,rider"
GELAB9682,"drop_off,courier,rider"
DC3813,"drop_off,courier,rider"
GELAB3092,"drop_off,courier,rider"
DC6639,"drop_off,courier,rider"
GELAB2247,"drop_off,courier,rider"
GELAB3657,"drop_off,courier,rider"
GELAB5491,"drop_off,courier,rider"
DC8440,"drop_off,courier,rider"
F533,"drop_off,courier,rider"
GELAB2996,"drop_off,courier,rider"
GELAB4850,"drop_off,courier,rider"
DC7637,"drop_off,courier,rider"
F1033,"drop_off,courier,rider"
DC5129,"drop_off,courier,rider"
CC5488,"drop_off,courier,rider"
GELAB4074,"drop_off,courier,rider"
GELAB5218,"drop_off,courier,rider"
F628,"drop_off,courier,rider"
DC2519,"drop_off,courier,rider"
DC11489,"drop_off,courier,rider"
CC4199,"drop_off,courier,rider"
DC8079,"drop_off,courier,rider"
DC4719,"drop_off,courier,rider"
GELAB4035,"drop_off,courier,rider"
F534,"drop_off,courier,rider"
DC7716,"drop_off,courier,rider"
DC11649,"drop_off,courier,rider"
GELAB4180,"drop_off,courier,rider"
GELAB5292,"drop_off,courier,rider"
CC9502,"drop_off,courier,rider"
GEHC2462,"drop_off,courier,rider"
GELAB9399,"drop_off,courier,rider"
GELAB2188,"drop_off,courier,rider"
DC4723,"drop_off,courier,rider"
DC4894,"drop_off,courier,rider"
DC9397,"drop_off,courier,rider"
GELAB2203,"drop_off,courier,rider"
GELAB5101,"drop_off,courier,rider"
GELAB12003,"drop_off,courier,rider"
DC8923,"drop_off,courier,rider"
DC10049,"drop_off,courier,rider"
GELAB4158,"drop_off,courier,rider"
DC1963,"drop_off,courier,rider"
GELAB2726,"drop_off,courier,rider"
CC8041,"drop_off,courier,rider"
GELAB4162,"drop_off,courier,rider"
GELAB5473,"drop_off,courier,rider"
DC9619,"drop_off,courier,rider"
DC4171,"drop_off,courier,rider"
DC8180,"drop_off,courier,rider"
GELAB2227,"drop_off,courier,rider"
DC5398,"drop_off,courier,rider"
GELAB4799,"drop_off,courier,rider"
GELAB10554,"drop_off,courier,rider"
GELAB3810,"drop_off,courier,rider"
GELAB4133,"drop_off,courier,rider"
DC10566,"drop_off,courier,rider"
DC2259,"drop_off,courier,rider"
GELAB2401,"drop_off,courier,rider"
GELAB3531,"drop_off,courier,rider"
DC4706,"drop_off,courier,rider"
GELAB5207,"drop_off,courier,rider"
DC7640,"drop_off,courier,rider"
GELAB4506,"drop_off,courier,rider"
DC6746,"drop_off,courier,rider"
DC12325,"drop_off,courier,rider"
GELAB5215,"drop_off,courier,rider"
DC7444,"drop_off,courier,rider"
CC12617,"drop_off,courier,rider"
GELAB7512,"drop_off,courier,rider"
DC12772,"drop_off,courier,rider"
F875,"drop_off,courier,rider"
CC2088,"drop_off,courier,rider"
GELAB4167,"drop_off,courier,rider"
GELAB3558,"drop_off,courier,rider"
DC4441,"drop_off,courier,rider"
GELAB2231,"drop_off,courier,rider"
GELAB5089,"drop_off,courier,rider"
GELAB5216,"drop_off,courier,rider"
CC2078,"drop_off,courier,rider"
GELAB2784,"drop_off,courier,rider"
DC13132,"drop_off,courier,rider"
F1095,"drop_off,courier,rider"
DC3785,"drop_off,courier,rider"
DC7630,"drop_off,courier,rider"
GELAB2925,"drop_off,courier,rider"
GELAB4490,"drop_off,courier,rider"
GELAB2491,"drop_off,courier,rider"
GELAB3932,"drop_off,courier,rider"
DC5713,"drop_off,courier,rider"
DC6217,"drop_off,courier,rider"
GELAB4963,"drop_off,courier,rider"
F505,"drop_off,courier,rider"
F1193,"drop_off,courier,rider"
DC10475,"drop_off,courier,rider"
DC11831,"drop_off,courier,rider"
GELAB4470,"drop_off,courier,rider"
CC6685,"drop_off,courier,rider"
GELAB4078,"drop_off,courier,rider"
GELAB3249,"drop_off,courier,rider"
GELAB3768,"drop_off,courier,rider"
F1069,"drop_off,courier,rider"
GELAB2181,"drop_off,courier,rider"
CC7200,"drop_off,courier,rider"
F574,"drop_off,courier,rider"
GELAB3923,"drop_off,courier,rider"
GELAB5168,"drop_off,courier,rider"
DC7623,"drop_off,courier,rider"
GELAB12696,"drop_off,courier,rider"
GELAB2524,"drop_off,courier,rider"
CC2077,"drop_off,courier,rider"
GELAB11433,"drop_off,courier,rider"
F482,"drop_off,courier,rider"
F494,"drop_off,courier,rider"
DC3719,"drop_off,courier,rider"
GELAB5132,"drop_off,courier,rider"
DC2792,"drop_off,courier,rider"
GELAB7945,"drop_off,courier,rider"
GEHC2450,"drop_off,courier,rider"
GELAB4357,"drop_off,courier,rider"
CC13480,"drop_off,courier,rider"
GELAB4363,"drop_off,courier,rider"
F419,"drop_off,courier,rider"
DC5566,"drop_off,courier,rider"
GELAB2904,"drop_off,courier,rider"
GELAB4218,"drop_off,courier,rider"
DC13341,"drop_off,courier,rider"
DC366,"drop_off,courier,rider"
GELAB2310,"drop_off,courier,rider"
DC3718,"drop_off,courier,rider"
DC7443,"drop_off,courier,rider"
F549,"drop_off,courier,rider"
CC7955,"drop_off,courier,rider"
F876,"drop_off,courier,rider"
GELAB2782,"drop_off,courier,rider"
F617,"drop_off,courier,rider"
GELAB4362,"drop_off,courier,rider"
F210,"drop_off,courier,rider"
GELAB2553,"drop_off,courier,rider"
GELAB2223,"drop_off,courier,rider"
GELAB3860,"drop_off,courier,rider"
CC9277,"drop_off,courier,rider"
GELAB4165,"drop_off,courier,rider"
GELAB4419,"drop_off,courier,rider"
CC5464,"drop_off,courier,rider"
DC3377,"drop_off,courier,rider"
GELAB4836,"drop_off,courier,rider"
GELAB5530,"drop_off,courier,rider"
DC6942,"drop_off,courier,rider"
DC7206,"drop_off,courier,rider"
GELAB2417,"drop_off,courier,rider"
GELAB3495,"drop_off,courier,rider"
DC2092,"drop_off,courier,rider"
GELAB2884,"drop_off,courier,rider"
CC1284,"drop_off,courier,rider"
GELAB4032,"drop_off,courier,rider"
F515,"drop_off,courier,rider"
F530,"drop_off,courier,rider"
DC1796,"drop_off,courier,rider"
DC7631,"drop_off,courier,rider"
GELAB12469,"drop_off,courier,rider"
GELAB3626,"drop_off,courier,rider"
DC6968,"drop_off,courier,rider"
DC2968,"drop_off,courier,rider"
F1119,"drop_off,courier,rider"
DC7629,"drop_off,courier,rider"
DC1321,"drop_off,courier,rider"
GELAB11202,"drop_off,courier,rider"
GELAB2689,"drop_off,courier,rider"
F872,"drop_off,courier,rider"
DC4174,"drop_off,courier,rider"
DC4018,"drop_off,courier,rider"
GELAB3857,"drop_off,courier,rider"
DC4729,"drop_off,courier,rider"
DC1852,"drop_off,courier,rider"
DC1426,"drop_off,courier,rider"
GELAB3179,"drop_off,courier,rider"
DC5222,"drop_off,courier,rider"
DC7384,"drop_off,courier,rider"
DC7560,"drop_off,courier,rider"
F230,"drop_off,courier,rider"
GELAB3538,"drop_off,courier,rider"
GELAB4135,"drop_off,courier,rider"
F874,"drop_off,courier,rider"
DC2066,"drop_off,courier,rider"
GELAB3994,"drop_off,courier,rider"
CC4456,"drop_off,courier,rider"
F429,"drop_off,courier,rider"
CC7143,"drop_off,courier,rider"
DC9219,"drop_off,courier,rider"
DC3352,"drop_off,courier,rider"
DC6428,"drop_off,courier,rider"
GELAB4297,"drop_off,courier,rider"
GELAB2998,"drop_off,courier,rider"
DC5723,"drop_off,courier,rider"
DC8189,"drop_off,courier,rider"
DC3083,"drop_off,courier,rider"
DC4727,"drop_off,courier,rider"
F848,"drop_off,courier,rider"
CC3782,"drop_off,courier,rider"
CC5064,"drop_off,courier,rider"
DC12148,"drop_off,courier,rider"
DC8442,"drop_off,courier,rider"
F563,"drop_off,courier,rider"
DC4944,"drop_off,courier,rider"
CC12839,"drop_off,courier,rider"
DC13056,"drop_off,courier,rider"
CC1298,"drop_off,courier,rider"
OLC7786,"drop_off,courier,rider"
DC7978,"drop_off,courier,rider"
DC1512,"drop_off,courier,rider"
F1009,"drop_off,courier,rider"
DC7867,"drop_off,courier,rider"
F640,"drop_off,courier,rider"
DC1324,"drop_off,courier,rider"
GELAB4956,"drop_off,courier,rider"
GELAB2492,"drop_off,courier,rider"
DC2695,"drop_off,courier,rider"
GELAB3493,"drop_off,courier,rider"
DC6940,"drop_off,courier,rider"
F548,"drop_off,courier,rider"
GELAB3498,"drop_off,courier,rider"
DC6280,"drop_off,courier,rider"
GELAB2169,"drop_off,courier,rider"
GELAB4040,"drop_off,courier,rider"
GELAB6433,"drop_off,courier,rider"
GELAB3433,"drop_off,courier,rider"
GELAB4086,"drop_off,courier,rider"
DC7866,"drop_off,courier,rider"
GELAB8644,"drop_off,courier,rider"
F894,"drop_off,courier,rider"
F643,"drop_off,courier,rider"
F426,"drop_off,courier,rider"
DummyCC,"drop_off,courier,rider"
GELAB3582,"drop_off,courier,rider"
F414,"drop_off,courier,rider"
GEHC2458,"drop_off,courier,rider"
DC8488,"drop_off,courier,rider"
GELAB3638,"drop_off,courier,rider"
DC3806,"drop_off,courier,rider"
GELAB5495,"drop_off,courier,rider"
GELAB2190,"drop_off,courier,rider"
DC7712,"drop_off,courier,rider"
GELAB3431,"drop_off,courier,rider"
GELAB5563,"drop_off,courier,rider"
GELAB3029,"drop_off,courier,rider"
CC13291,"drop_off,courier,rider"
F873,"drop_off,courier,rider"
CC1443,"drop_off,courier,rider"
GELAB2175,"drop_off,courier,rider"
GELAB2200,"drop_off,courier,rider"
GELAB3888,"drop_off,courier,rider"
CC5193,"drop_off,courier,rider"
GELAB3659,"drop_off,courier,rider"
GELAB5487,"drop_off,courier,rider"
DC8088,"drop_off,courier,rider"
F212,"drop_off,courier,rider"
GELAB3866,"drop_off,courier,rider"
F1092,"drop_off,courier,rider"
GELAB2930,"drop_off,courier,rider"
DC7622,"drop_off,courier,rider"
DC11563,"drop_off,courier,rider"
DC7864,"drop_off,courier,rider"
DC1438,"drop_off,courier,rider"
GELAB2529,"drop_off,courier,rider"
F718,"drop_off,courier,rider"
DC9373,"drop_off,courier,rider"
DC9902,"drop_off,courier,rider"
GELAB2982,"drop_off,courier,rider"
GELAB3533,"drop_off,courier,rider"
GELAB6838,"drop_off,courier,rider"
GELAB7184,"drop_off,courier,rider"
CC1542,"drop_off,courier,rider"
GELAB4984,"drop_off,courier,rider"
F589,"drop_off,courier,rider"
GELAB4007,"drop_off,courier,rider"
DC6218,"drop_off,courier,rider"
DC8179,"drop_off,courier,rider"
DC9429,"drop_off,courier,rider"
GELAB2383,"drop_off,courier,rider"
F10107,"drop_off,courier,rider"
GELAB4743,"drop_off,courier,rider"
GELAB5266,"drop_off,courier,rider"
DC13295,"drop_off,courier,rider"
GELAB2786,"drop_off,courier,rider"
GELAB5204,"drop_off,courier,rider"
DC6279,"drop_off,courier,rider"
DC8030,"drop_off,courier,rider"
GELAB4990,"drop_off,courier,rider"
DC8087,"drop_off,courier,rider"
GELAB4089,"drop_off,courier,rider"
GELAB3926,"drop_off,courier,rider"
GELAB2419,"drop_off,courier,rider"
GELAB3233,"drop_off,courier,rider"
DC1236,"drop_off,courier,rider"
DC3347,"drop_off,courier,rider"
GELAB5429,"drop_off,courier,rider"
DC2029,"drop_off,courier,rider"
CC9385,"drop_off,courier,rider"
F408,"drop_off,courier,rider"
GELAB2232,"drop_off,courier,rider"
DC7717,"drop_off,courier,rider"
F868,"drop_off,courier,rider"
DC2799,"drop_off,courier,rider"
GELAB3522,"drop_off,courier,rider"
GELAB3871,"drop_off,courier,rider"
DC3174,"drop_off,courier,rider"
F421,"drop_off,courier,rider"
GELAB8114,"drop_off,courier,rider"
DC9443,"drop_off,courier,rider"
GELAB4223,"drop_off,courier,rider"
GELAB2725,"drop_off,courier,rider"
F545,"drop_off,courier,rider"
CC1841,"drop_off,courier,rider"
GELAB3830,"drop_off,courier,rider"
GELAB5113,"drop_off,courier,rider"
GELAB12160,"drop_off,courier,rider"
GELAB5214,"drop_off,courier,rider"
GELAB4872,"drop_off,courier,rider"
DC3822,"drop_off,courier,rider"
GELAB2202,"drop_off,courier,rider"
GELAB3777,"drop_off,courier,rider"
GELAB5549,"drop_off,courier,rider"
DC4182,"drop_off,courier,rider"
GELAB4236,"drop_off,courier,rider"
F596,"drop_off,courier,rider"
F228,"drop_off,courier,rider"
GELAB9448,"drop_off,courier,rider"
DC4315,"drop_off,courier,rider"
DC4720,"drop_off,courier,rider"
F1210,"drop_off,courier,rider"
DC8026,"drop_off,courier,rider"
DC13146,"drop_off,courier,rider"
GELAB5448,"drop_off,courier,rider"
CC9716,"drop_off,courier,rider"
CC2000,"drop_off,courier,rider"
GELAB2938,"drop_off,courier,rider"
GELAB5164,"drop_off,courier,rider"
CC9275,"drop_off,courier,rider"
DC12328,"drop_off,courier,rider"
GELAB3436,"drop_off,courier,rider"
F239,"drop_off,courier,rider"
DC4092,"drop_off,courier,rider"
DC4392,"drop_off,courier,rider"
GELAB2693,"drop_off,courier,rider"
DC11857,"drop_off,courier,rider"
GELAB6129,"drop_off,courier,rider"
GELAB3381,"drop_off,courier,rider"
GELAB5166,"drop_off,courier,rider"
CC1944,"drop_off,courier,rider"
GELAB3230,"drop_off,courier,rider"
F231,"drop_off,courier,rider"
GELAB4694,"drop_off,courier,rider"
DC8167,"drop_off,courier,rider"
F1096,"drop_off,courier,rider"
DC6839,"drop_off,courier,rider"
GELAB2723,"drop_off,courier,rider"
DC3196,"drop_off,courier,rider"
F490,"drop_off,courier,rider"
DC4376,"drop_off,courier,rider"
GELAB2428,"drop_off,courier,rider"
GELAB4241,"drop_off,courier,rider"
GELAB3074,"drop_off,courier,rider"
GELAB4560,"drop_off,courier,rider"
GELAB4702,"drop_off,courier,rider"
GELAB4982,"drop_off,courier,rider"
GELAB3763,"drop_off,courier,rider"
DC7502,"drop_off,courier,rider"
DC4814,"drop_off,courier,rider"
DC1235,"drop_off,courier,rider"
DC4611,"drop_off,courier,rider"
GELAB2234,"drop_off,courier,rider"
GELAB3564,"drop_off,courier,rider"
DC8082,"drop_off,courier,rider"
DC10941,"drop_off,courier,rider"
F607,"drop_off,courier,rider"
DC1576,"drop_off,courier,rider"
GELAB3525,"drop_off,courier,rider"
CC5529,"drop_off,courier,rider"
DC7071,"drop_off,courier,rider"
F259,"drop_off,courier,rider"
CC3621,"drop_off,courier,rider"
GELAB3432,"drop_off,courier,rider"
GELAB5490,"drop_off,courier,rider"
DC2561,"drop_off,courier,rider"
GELAB4856,"drop_off,courier,rider"
DC11955,"drop_off,courier,rider"
GELAB2438,"drop_off,courier,rider"
CC2956,"drop_off,courier,rider"
F900,"drop_off,courier,rider"
DC7430,"drop_off,courier,rider"
GELAB3012,"drop_off,courier,rider"
GELAB3113,"drop_off,courier,rider"
F712,"drop_off,courier,rider"
DC3794,"drop_off,courier,rider"
DC3460,"drop_off,courier,rider"
GELAB4954,"drop_off,courier,rider"
GELAB8649,"drop_off,courier,rider"
GELAB2648,"drop_off,courier,rider"
OLC9763,"drop_off,courier,rider"
F1077,"drop_off,courier,rider"
F869,"drop_off,courier,rider"
GELAB2225,"drop_off,courier,rider"
GELAB2481,"drop_off,courier,rider"
GEHC2280,"drop_off,courier,rider"
GELAB4088,"drop_off,courier,rider"
CC9094,"drop_off,courier,rider"
F1039,"drop_off,courier,rider"
DC11556,"drop_off,courier,rider"
CC12811,"drop_off,courier,rider"
CC13013,"drop_off,courier,rider"
CC2671,"drop_off,courier,rider"
GELAB3779,"drop_off,courier,rider"
DC4890,"drop_off,courier,rider"
DC7804,"drop_off,courier,rider"
GELAB4941,"drop_off,courier,rider"
GELAB4986,"drop_off,courier,rider"
DC2307,"drop_off,courier,rider"
GELAB3025,"drop_off,courier,rider"
F481,"drop_off,courier,rider"
F500,"drop_off,courier,rider"
GEHC2274,"drop_off,courier,rider"
GELAB2509,"drop_off,courier,rider"
GELAB4489,"drop_off,courier,rider"
DC10838,"drop_off,courier,rider"
F488,"drop_off,courier,rider"
GELAB2649,"drop_off,courier,rider"
GELAB5418,"drop_off,courier,rider"
CC6174,"drop_off,courier,rider"
DC11293,"drop_off,courier,rider"
DC13559,"drop_off,courier,rider"
DC6662,"drop_off,courier,rider"
F1079,"drop_off,courier,rider"
OLC10476,"drop_off,courier,rider"
GELAB2425,"drop_off,courier,rider"
DC4718,"drop_off,courier,rider"
GELAB7214,"drop_off,courier,rider"
F497,"drop_off,courier,rider"
GELAB2911,"drop_off,courier,rider"
GELAB4176,"drop_off,courier,rider"
DC11361,"drop_off,courier,rider"
DC4784,"drop_off,courier,rider"
GELAB4852,"drop_off,courier,rider"
GELAB2402,"drop_off,courier,rider"
GELAB4955,"drop_off,courier,rider"
F950,"drop_off,courier,rider"
DC2517,"drop_off,courier,rider"
GELAB5425,"drop_off,courier,rider"
F993,"drop_off,courier,rider"
GELAB2664,"drop_off,courier,rider"
CC4150,"drop_off,courier,rider"
DC3946,"drop_off,courier,rider"
GELAB2212,"drop_off,courier,rider"
DC3787,"drop_off,courier,rider"
GEHC2270,"drop_off,courier,rider"
DC8255,"drop_off,courier,rider"
DC3804,"drop_off,courier,rider"
CC7150,"drop_off,courier,rider"
CC7911,"drop_off,courier,rider"
F1012,"drop_off,courier,rider"
DC1969,"drop_off,courier,rider"
GELAB3148,"drop_off,courier,rider"
GELAB3487,"drop_off,courier,rider"
F654,"drop_off,courier,rider"
GELAB5493,"drop_off,courier,rider"
F1037,"drop_off,courier,rider"
GELAB3259,"drop_off,courier,rider"
GELAB2177,"drop_off,courier,rider"
F777,"drop_off,courier,rider"
GELAB4588,"drop_off,courier,rider"
DC8176,"drop_off,courier,rider"
DC3725,"drop_off,courier,rider"
DC4721,"drop_off,courier,rider"
DC3920,"drop_off,courier,rider"
GELAB4495,"drop_off,courier,rider"
DC8187,"drop_off,courier,rider"
CC11714,"drop_off,courier,rider"
DC3514,"drop_off,courier,rider"
DC4711,"drop_off,courier,rider"
F878,"drop_off,courier,rider"
GELAB7161,"drop_off,courier,rider"
DC4707,"drop_off,courier,rider"
DC8267,"drop_off,courier,rider"
CC1561,"drop_off,courier,rider"
DC5684,"drop_off,courier,rider"
GELAB5607,"drop_off,courier,rider"
DC2919,"drop_off,courier,rider"
F859,"drop_off,courier,rider"
GELAB3250,"drop_off,courier,rider"
GELAB4001,"drop_off,courier,rider"
CC5088,"drop_off,courier,rider"
F860,"drop_off,courier,rider"
F861,"drop_off,courier,rider"
GELAB4938,"drop_off,courier,rider"
DC7758,"drop_off,courier,rider"
GEHC2456,"drop_off,courier,rider"
GELAB3060,"drop_off,courier,rider"
DC4713,"drop_off,courier,rider"
DC5143,"drop_off,courier,rider"
GELAB5403,"drop_off,courier,rider"
GELAB5427,"drop_off,courier,rider"
GELAB13527,"drop_off,courier,rider"
GELAB2545,"drop_off,courier,rider"
GELAB3244,"drop_off,courier,rider"
GELAB4673,"drop_off,courier,rider"
DC1416,"drop_off,courier,rider"
DC1720,"drop_off,courier,rider"
GELAB2916,"drop_off,courier,rider"
DC8077,"drop_off,courier,rider"
GELAB2229,"drop_off,courier,rider"
GELAB2933,"drop_off,courier,rider"
GELAB5210,"drop_off,courier,rider"
GELAB3323,"drop_off,courier,rider"
GELAB5604,"drop_off,courier,rider"
DC7632,"drop_off,courier,rider"
F1116,"drop_off,courier,rider"
DC9661,"drop_off,courier,rider"
GELAB3606,"drop_off,courier,rider"
GELAB3781,"drop_off,courier,rider"
GELAB4256,"drop_off,courier,rider"
GELAB4294,"drop_off,courier,rider"
GELAB5693,"drop_off,courier,rider"
F1163,"drop_off,courier,rider"
F813,"drop_off,courier,rider"
GELAB2495,"drop_off,courier,rider"
DC1530,"drop_off,courier,rider"
GELAB3178,"drop_off,courier,rider"
CC6643,"drop_off,courier,rider"
DC9580,"drop_off,courier,rider"
CC12429,"drop_off,courier,rider"
DC12624,"drop_off,courier,rider"
GELAB2237,"drop_off,courier,rider"
GELAB2413,"drop_off,courier,rider"
DC4882,"drop_off,courier,rider"
CC323,"drop_off,courier,rider"
GELAB11770,"drop_off,courier,rider"
GELAB5230,"drop_off,courier,rider"
F10149,"drop_off,courier,rider"
DC2093,"drop_off,courier,rider"
DC6941,"drop_off,courier,rider"
GELAB2690,"drop_off,courier,rider"
GELAB3980,"drop_off,courier,rider"
DC7338,"drop_off,courier,rider"
F471,"drop_off,courier,rider"
DC8178,"drop_off,courier,rider"
GELAB3077,"drop_off,courier,rider"
DC4724,"drop_off,courier,rider"
GELAB5081,"drop_off,courier,rider"
GELAB4242,"drop_off,courier,rider"
DC8086,"drop_off,courier,rider"
GELAB2325,"drop_off,courier,rider"
GELAB2420,"drop_off,courier,rider"
GELAB3004,"drop_off,courier,rider"
F905,"drop_off,courier,rider"
GELAB5370,"drop_off,courier,rider"
GELAB2683,"drop_off,courier,rider"
GELAB2208,"drop_off,courier,rider"
GELAB3009,"drop_off,courier,rider"
GELAB4514,"drop_off,courier,rider"
GELAB2988,"drop_off,courier,rider"
DC3439,"drop_off,courier,rider"
GELAB3925,"drop_off,courier,rider"
GEHC2307,"drop_off,courier,rider"
DC3618,"drop_off,courier,rider"
GELAB3216,"drop_off,courier,rider"
GELAB6877,"drop_off,courier,rider"
GELAB5170,"drop_off,courier,rider"
DC7715,"drop_off,courier,rider"
DC7865,"drop_off,courier,rider"
F931,"drop_off,courier,rider"
GELAB2983,"drop_off,courier,rider"
GELAB2243,"drop_off,courier,rider"
DC7378,"drop_off,courier,rider"
GELAB3747,"drop_off,courier,rider"
DC9711,"drop_off,courier,rider"
GELAB3766,"drop_off,courier,rider"
GELAB2167,"drop_off,courier,rider"
DC9950,"drop_off,courier,rider"
GELAB6297,"drop_off,courier,rider"
DC3814,"drop_off,courier,rider"
F198,"drop_off,courier,rider"
GELAB3993,"drop_off,courier,rider"
GELAB4132,"drop_off,courier,rider"
DC8288,"drop_off,courier,rider"
GELAB2971,"drop_off,courier,rider"
GELAB5492,"drop_off,courier,rider"
GELAB8246,"drop_off,courier,rider"
F883,"drop_off,courier,rider"
GELAB6414,"drop_off,courier,rider"
CC8034,"drop_off,courier,rider"
CC325,"drop_off,courier,rider"
F397,"drop_off,courier,rider"
CC1483,"drop_off,courier,rider"
F1212,"drop_off,courier,rider"
DC1833,"drop_off,courier,rider"
GELAB4318,"drop_off,courier,rider"
F449,"drop_off,courier,rider"
F495,"drop_off,courier,rider"
F624,"drop_off,courier,rider"
GELAB2969,"drop_off,courier,rider"
GELAB5267,"drop_off,courier,rider"
F879,"drop_off,courier,rider"
GELAB4072,"drop_off,courier,rider"
DC7633,"drop_off,courier,rider"
